"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3_consent","Q6_1_extravert","Q6_2_critical","Q6_3_dependable","Q6_4_anxious","Q6_5_open","Q6_6_reserved","Q6_7_sympathetic","Q6_8_disorganized","Q6_9_calm","Q6_10_conventional","Q7_1_group_inferiority","Q7_2_use_force","Q7_3_more_chances","Q7_4_step_on","Q7_5_stay_place","Q7_6_top_bottom","Q7_7_inferior","Q7_8_kept_place","Q7_9_equal","Q7_10_equality_ideal","Q7_11_equal_chance","Q7_12_equalize_conditions","Q7_13_social_equality","Q7_14_fewer_problems","Q7_15_incomes_equal","Q7_16_no_dominate","Q8_1_neglect_needs","Q8_2_others_needs","Q8_3_sensitive_feelings","Q8_4_not_helpful","Q8_5_be_helpful","Q8_6_no_aid","Q8_7_be_responsive","Q8_8_help_others","Q8_9_no_involvement","Q8_10_no_help_others","Q8_11_turn_to_others","Q8_12_emotion_avoid","Q8_13_trouble_themselves","Q8_14_ignored_hurt","Q9_1_depend_on_self","Q9_2_rely_on_self","Q9_3_do_own_thing","Q9_4_personal_identity_important","Q9_5_do_job_better","Q9_6_winning_everything","Q9_7_competition_nature","Q9_8_others_better_tense","Q9_9_coworker_prize_proud","Q9_10_coworker_wellbeing","Q9_11_spend_time_others","Q9_12_good_cooperate_others","Q9_13_family_together","Q9_14_care_family_duty","Q9_15_family_stick_together","Q9_16_respect_group_decision","Q11_age","Q12_gender","Q13_education","Q14_job","Q15_total_hours","Q16_employer_selfemployed","Q17_occupation","Q18_employ_situation","Q18_employ_situation_text","Q19_income_US","Q20_income_MA","Q21_income_PH","Q22_income_feeling","Q23_religion","Q23_religion_text","Q24_religion_freq","Q25_adult_hh_num","Q26_child_hh_num","Q27_marital_status","Q28_friends_num","Q29_born_in_country","Q30_move_last5","Q31_country_origin","Q32_1_smartphone","Q32_2_computer","Q32_3_tablet","Q33_internet_where","Q34_internet_hours_day","Q35_social_networks","Q36_social_media_people_num","Q37_social_media_hours_day","Q38_online_research","Q39_send_survey_invites","Q40_mobile_number","Q6_2_critical_REV","Q6_4_anxious_REV","Q6_6_reserved_REV","Q6_8_disorganized_REV","Q6_10_conventional_REV","tipi_extraversion","tipi_agreeableness","tipi_conscientiousness","tipi_emot_stability","tipi_open_experiences","Q7_9_equal_REV","Q7_10_equality_ideal_REV","Q7_11_equal_chance_REV","Q7_12_equalize_conditions_REV","Q7_13_social_equality_REV","Q7_14_fewer_problems_REV","Q7_15_incomes_equal_REV","Q7_16_no_dominate_REV","soc_dom_orient","Q8_3_sensitive_feelings_REV","Q8_4_not_helpful_REV","Q8_6_no_aid_REV","Q8_9_no_involvement_REV","Q8_10_no_help_others_REV","Q8_12_emotion_avoid_REV","Q8_13_trouble_themselves_REV","comm_orient_scale","horiz_indiv","vert_indiv","horiz_collect","vert_collect"
"2017-06-08 06:17:43","2017-06-08 06:17:43","Survey Test","","100","0","True","2017-06-08 06:17:43","R_6neT3ef3Mys02Y5","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",5,6,4,4,5,4,6,2,5,6,4,6,5,5,2,3,6,5,4,3,2,1,3,1,2,7,2,6,2,6,7,5,2,1,3,3,1,5,3,7,7,8,6,9,5,5,4,6,3,2,7,8,8,3,5,5,31,"Female","Elementary school",1,1,"Work for an employer","Managerial","","","$120,000-$179,999 per year","249 MAD or less","1,501 – 3,000 pesos","Finding it very difficult on present income","Other Christian Religion","","Weekly (at least once a week)",81,72,"Domestic partnership/Living with partner ",49980,1,,"","7 days","5 days","Less than once a week","Other",12,1,43504,2,1,0,"",2,4,4,6,2,4.5,4,5,4.5,3.5,4,5,6,7,5,7,6,1,4.8125,6,2,3,5,5,3,5,55,30,20,20,21
"2017-06-08 06:17:42","2017-06-08 06:17:43","Survey Test","","100","1","True","2017-06-08 06:17:43","R_8GQlqppZ8XA1XCt","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",2,1,5,7,2,7,3,4,1,5,2,7,1,3,6,6,1,4,3,4,2,1,1,2,1,3,1,5,3,7,3,7,5,2,1,7,6,6,5,4,9,5,1,7,8,6,8,1,8,4,3,5,3,5,4,4,119,"Other","Elementary school",1,2,"Self-employed","Sales or retail","","","$180,000-$239,999 per year","2,000 - 2,999 MAD","7,501 – 10,000 pesos","Finding it difficult on present income","Roman Catholic","","Annually (at least once a year)",19,64,"Married",71388,1,,"","7 days","Never","Never","Other",17,1,23534,5,0,1,"9",7,1,1,4,3,1.5,5,4.5,1,2.5,5,4,6,7,7,6,7,5,4.8125,5,1,1,7,1,2,3,46,22,23,20,16
"2017-06-08 06:17:44","2017-06-08 06:17:44","Survey Test","","100","0","True","2017-06-08 06:17:44","R_6Wk5cBgJR684YpT","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",1,4,3,2,5,3,2,4,7,6,1,7,2,4,5,6,7,6,7,6,2,5,7,6,3,3,2,2,5,4,4,7,1,2,1,3,2,4,6,6,5,7,2,9,9,2,2,8,9,8,4,4,6,5,8,7,119,"Prefer not to answer","College degree",0,,"","","Unemployed","","Less than $6,000 per year","249 MAD or less","4,001 – 5,000 pesos","Getting by on present income","Mormon/Latter-Day Saints","","Annually (at least once a year)",8,11,"Widowed",14905,0,0,"Dapibus ipsum enim a metus vel consequat felis mi pretium laoreet vulputate iaculis molestie.","2 days","Never","5 days","On a computer or tablet at home",11,1,45058,24,1,0,"",4,6,5,4,2,3,3,3.5,6.5,3.5,1,2,6,3,1,2,5,5,3.9375,3,4,1,7,5,4,2,45,23,21,25,26
"2017-06-08 06:17:43","2017-06-08 06:17:43","Survey Test","","100","0","True","2017-06-08 06:17:43","R_79vLAEQHXPGhe5L","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",5,1,3,3,5,7,4,5,6,1,7,7,4,7,3,6,1,1,1,7,6,4,1,6,5,2,2,1,7,4,1,2,2,7,3,7,3,3,1,2,9,3,7,3,2,9,5,6,3,9,6,9,3,3,9,6,83,"Prefer not to answer","None",0,,"","","Student","","Less than $6,000 per year","20,000 - 24,999 MAD","4,001 – 5,000 pesos","Finding it very difficult on present income","Buddhism","","Do not regularly attend religious services",69,79,"Divorced",68599,1,,"","1 day","7 days","3 days","On a mobile device",5,1,98183,22,0,1,"4",7,5,1,3,7,3,5.5,3,5.5,6,7,1,2,4,7,2,3,6,4.25,1,4,6,5,1,5,7,47,22,22,27,21
"2017-06-08 06:17:43","2017-06-08 06:17:43","Survey Test","","100","0","True","2017-06-08 06:17:43","R_a8AaCneoHwaIDgp","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",2,5,1,6,4,7,7,5,7,2,2,6,6,7,5,4,7,2,5,4,7,2,5,3,6,5,5,6,1,6,7,1,6,4,7,3,2,7,3,2,3,3,8,3,5,4,5,5,1,6,9,2,6,2,9,1,31,"Female","Post-graduate degree",0,,"","","Disabled","","$48,000-$59,999 per year","(Does NOT know household income)","1,501 – 3,000 pesos","Finding it very difficult on present income","Buddhism","","Weekly (at least once a week)",86,7,"Domestic partnership/Living with partner ",74206,1,,"","4 days","6 days","6 days","On a mobile device",4,0,,,0,1,"9",3,2,1,3,6,1.5,5,2,4.5,5,3,4,1,6,3,5,2,3,4.125,7,2,7,1,5,1,5,60,17,19,18,18
"2017-06-08 06:17:43","2017-06-08 06:17:44","Survey Test","","100","1","True","2017-06-08 06:17:44","R_7UqDbfpqxQ1OPmR","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",1,7,6,4,2,6,5,5,1,1,3,1,2,1,4,7,1,7,1,2,1,5,4,4,4,5,5,4,3,7,5,7,6,2,6,3,7,1,3,3,7,6,2,3,4,8,8,5,8,1,5,9,8,6,5,2,133,"Prefer not to answer","Elementary school",1,8,"Work for an employer","Other","","","$240,000 or more per year","249 MAD or less","4,001 – 5,000 pesos","Finding it very difficult on present income","Islam/Muslim (Shiite)","","Do not regularly attend religious services",25,49,"Divorced",93863,1,,"","Less than once a week","7 days","7 days","On a computer or tablet at a public place (e.g., library)",19,1,71537,12,1,0,"",1,4,2,3,7,1.5,3,4.5,2.5,4.5,7,6,7,3,4,4,4,3,4,5,1,1,2,5,7,5,58,18,25,23,21
"2017-06-08 06:17:45","2017-06-08 06:17:45","Survey Test","","100","0","True","2017-06-08 06:17:45","R_5BbXaywNSPk3iiF","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",4,6,1,7,4,5,7,7,1,1,4,4,2,1,4,6,6,3,1,1,7,3,4,5,2,2,7,4,6,1,1,6,6,3,4,3,2,1,3,6,9,1,7,4,4,4,6,1,7,1,6,9,9,5,1,4,131,"Male","None",0,,"","","Disabled","","$180,000-$239,999 per year","250 - 499 MAD","701 – 1,500 pesos","Finding it difficult on present income","Roman Catholic","","Monthly (at least once a month)",31,47,"Married",98204,1,,"","5 days","4 days","4 days","On a computer or tablet at home",22,1,65845,21,1,1,"0",2,1,3,1,7,3.5,4.5,1,1,5.5,7,7,1,5,4,3,6,6,4.3125,2,7,2,4,5,7,5,61,21,15,23,19
"2017-06-08 06:17:45","2017-06-08 06:17:45","Survey Test","","100","0","True","2017-06-08 06:17:45","R_9RDu5rF00ykznq5","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",4,2,2,6,6,7,1,3,5,1,1,1,7,6,4,7,2,2,6,7,3,6,6,4,3,2,6,7,6,5,3,3,4,6,6,2,6,7,2,3,4,3,8,2,6,2,6,8,5,4,4,4,6,3,3,4,55,"Prefer not to answer","Elementary school",0,,"","","Retired","","$90,000-$119,999 per year","(Does NOT know household income)","1,501 – 3,000 pesos","Living comfortably on present income","Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism","","Do not regularly attend religious services",59,93,"Divorced",39788,1,,"","Less than once a week","4 days","7 days","On a computer or tablet at home",23,0,,,1,1,"3",6,2,1,5,7,2.5,3.5,3.5,3.5,6.5,2,1,5,2,2,4,5,6,3.5625,2,3,5,2,6,1,6,60,17,22,17,16
"2017-06-08 06:17:44","2017-06-08 06:17:44","Survey Test","","100","0","True","2017-06-08 06:17:44","R_bJCPdFpZBiz6Av3","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,3,5,2,3,7,6,3,1,2,4,4,2,2,7,5,5,5,3,5,5,4,4,4,3,5,5,5,1,4,2,1,6,6,7,4,3,6,1,1,2,2,5,8,9,2,8,3,3,2,5,4,1,9,7,2,59,"Prefer not to answer","College degree",1,4,"Work for an employer","Military","","","$90,000-$119,999 per year","10,000 - 14,999 MAD","(None/No household income)","Getting by on present income","Sikhism","","Weekly (at least once a week)",7,33,"Single/Never been married",7718,1,,"","Never","5 days","6 days","On a computer or tablet at home",22,1,59043,5,1,0,"",5,6,1,5,6,2,5.5,5,3.5,4.5,5,3,3,4,4,4,5,3,4.0625,7,4,7,1,4,2,7,60,17,22,14,19
"2017-06-08 06:17:44","2017-06-08 06:17:44","Survey Test","","100","0","True","2017-06-08 06:17:44","R_42ur4jtVnkGKxcV","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,4,6,2,7,3,4,5,5,2,1,6,7,6,5,5,7,2,1,5,6,5,3,5,1,1,6,1,1,4,7,3,3,3,7,1,7,6,2,3,5,2,6,8,7,8,8,5,5,6,9,3,5,6,9,4,136,"Prefer not to answer","High school",0,,"","","Disabled","","$60,000-$89,999 per year","10,000 - 14,999 MAD","(Refused to give household income)","Living comfortably on present income","Don’t know","","",13,94,"Single/Never been married",1262,1,,"","3 days","4 days","5 days","Other",2,0,,,1,1,"14",4,6,5,3,6,4,4,4.5,5.5,6.5,7,3,2,3,5,3,7,7,4.75,7,4,5,1,7,2,6,62,21,28,23,24
